receive_time_s,tau_est_s,tau_true_s,carrier_phase_rad,carrier_frequency_hz,fd_true_hz,post_corr_snr_db,carrier_lock_metric
17.972499,0.0004051899642073317,0.00041789051858727775,3617649.0471310187,19054.009329218417,15648.960102426034,3.3667429461260263,-0.9573397953041656
17.973499,0.0004051899642073317,0.00041789451849503535,3617770.265252372,19292.463205625187,15647.160102426178,-4.374011855307939,-0.990082616192009
17.974499,0.0004047699642073317,0.00041789851840279296,3617889.6271793153,19053.601138422524,15645.360102426028,1.8020628428986494,0.6702967616616419
17.975499,0.0004047699642073317,0.00041790251831055056,3618010.265421634,19200.17259096176,15643.56010242618,-3.179274169998196,-0.7497604503113247
17.976498999999997,0.0004047699642073317,0.00041790651821830817,3618130.297963697,19103.772401226695,15641.760102426037,-4.462693616857177,0.9550300969898474
17.977499,0.0004047699642073317,0.0004179105181260658,3618249.465680991,19067.592540476624,15639.960102426177,-2.068810410636202,0.03963978575110236
17.978499,0.00040495273482385864,0.00041791451803382333,3618370.6103048767,19186.795400637544,15638.160102426034,6.3998758961203315,0.18054680880060706
17.979498999999997,0.00040495273482385864,0.00041791851794158093,3618490.0849603717,19116.44327248744,15636.360102426335,0.7768710259466937,-0.4052566057404217
17.980499000000002,0.00040495273482385864,0.00041792251784933854,3618608.921332005,18913.395964538624,15634.560102426176,-3.261119288973377,-0.7652321660571287
17.981499,0.00040495273482385864,0.00041792651775709614,3618726.7827937505,18859.69551308562,15632.76010242618,2.1449411598845987,-0.5092324790913452
17.982498999999997,0.00040495273482385864,0.0004179305176648537,3618849.2010740377,19382.013156281515,15630.960102426037,-0.7240434450407496,-0.6830358291188144
17.983499000000002,0.00040537273482385864,0.00041793451757261136,3618969.2912270846,19105.692129155945,15629.160102426324,1.4000648708343866,0.9942623551398118
17.984499,0.00040537273482385864,0.0004179385174803689,3619089.5898788963,19044.770309865784,15627.360102426032,3.115333097908846,0.072307704831388
17.985498999999997,0.00040537273482385864,0.0004179425173881265,3619207.440054023,18857.89919191678,15625.560102426183,6.152245822358696,-0.9933917480046169
17.986499000000002,0.00040527822433635745,0.0004179465172958841,3619328.0268220883,19143.97164738042,15623.760102426177,3.7754238740405017,0.7585203041170613
17.987499,0.00040527822433635745,0.0004179505171497073,3619449.110927694,19169.672660768563,15621.55433887346,0.6816290010519273,0.03750696976540238
17.988498999999997,0.0004054756328615347,0.00041795451676733677,3619568.330128796,19042.44246978742,15619.754338873465,4.9706485239772045,0.534361754441295
