Time_s,AOA_deg
403.225228,2.576945
403.229770,2.719461
403.234313,2.854459
403.238855,2.981333
403.243398,3.099478
403.247940,3.208289
403.252483,3.307159
403.257026,3.395484
403.261568,3.472657
403.266111,3.538075
403.270653,3.591130
403.275196,3.631218
403.279738,3.657733
403.284281,3.670071
403.288824,3.665651
403.293366,3.638161
403.297909,3.588253
403.302451,3.517129
403.306994,3.425995
403.311536,3.316054
403.316079,3.188510
403.320622,3.044568
403.325164,2.885431
403.329707,2.712305
403.334249,2.526393
403.338792,2.328899
403.343335,2.121027
403.347877,1.903982
403.352420,1.678968
403.356962,1.447188
403.361505,1.209848
403.366047,0.968150
403.370590,0.723300
403.375133,0.476502
403.379675,0.228959
403.384218,-0.018124
403.388760,-0.263543
403.393303,-0.506094
403.397845,-0.744572
403.402388,-0.977775
403.406931,-1.204496
403.411473,-1.423533
403.416016,-1.633681
403.420558,-1.833736
403.425101,-2.022493
403.429643,-2.198750
403.434186,-2.361300
403.438729,-2.508941
403.443271,-2.640469
403.447814,-2.754678
403.452356,-2.850365
403.456899,-2.926326
403.461441,-2.981356
403.465984,-3.014251
403.470527,-3.023886
403.475069,-3.018131
403.479612,-3.003039
403.484154,-2.978899
403.488697,-2.945999
403.493239,-2.904628
403.497782,-2.855075
403.502325,-2.797629
403.506867,-2.732578
403.511410,-2.660212
403.515952,-2.580819
403.520495,-2.494688
403.525037,-2.402108
403.529580,-2.303367
403.534123,-2.198755
403.538665,-2.088560
403.543208,-1.973071
403.547750,-1.852577
403.552293,-1.727366
403.556835,-1.597728
403.561378,-1.463951
403.565921,-1.326324
403.570463,-1.185135
403.575006,-1.040675
403.579548,-0.893230
403.584091,-0.743091
403.588634,-0.590546
403.593176,-0.435884
403.597719,-0.279393
403.602261,-0.121363
403.606804,0.037919
403.611346,0.198162
403.615889,0.359078
403.620432,0.520379
403.624974,0.681776
403.629517,0.842979
403.634059,1.003700
403.638602,1.163651
403.643144,1.322542
403.647687,1.480084
403.652230,1.635990
403.656772,1.789969
403.661315,1.941733
403.665857,2.090994
403.670400,2.237463
403.674942,2.380850
403.679485,2.520868
403.684028,2.657227
403.688570,2.789638
403.693113,2.917812
403.697655,3.041462
403.702198,3.160297
403.706740,3.274030
403.711283,3.382371
403.715826,3.485032
403.720368,3.581724
403.724911,3.672157
403.729453,3.756044
403.733996,3.833095
403.738538,3.903022
403.743081,3.965536
403.747624,4.020348
403.752166,4.067169
403.756709,4.105710
403.761251,4.135683
403.765794,4.156799
403.770336,4.168768
403.774879,4.171238
403.779422,4.162497
403.783964,4.142208
403.788507,4.110796
403.793049,4.068684
403.797592,4.016297
403.802134,3.954059
403.806677,3.882392
403.811220,3.801721
403.815762,3.712471
403.820305,3.615064
403.824847,3.509924
403.829390,3.397476
403.833933,3.278143
403.838475,3.152350
403.843018,3.020519
403.847560,2.883075
403.852103,2.740442
403.856645,2.593043
403.861188,2.441303
403.865731,2.285645
403.870273,2.126493
403.874816,1.964271
403.879358,1.799402
403.883901,1.632312
403.888443,1.463422
403.892986,1.293159
403.897529,1.121944
403.902071,0.950202
403.906614,0.778358
403.911156,0.606834
403.915699,0.436055
403.920241,0.266444
403.924784,0.098425
403.929327,-0.067577
403.933869,-0.231140
403.938412,-0.391838
403.942954,-0.549249
403.947497,-0.702948
403.952039,-0.852512
403.956582,-0.997516
403.961125,-1.137538
403.965667,-1.272152
403.970210,-1.400935
403.974752,-1.523464
403.979295,-1.639315
403.983837,-1.748062
403.988380,-1.849284
403.992923,-1.942556
403.997465,-2.027453
404.002008,-2.103553
404.006550,-2.170431
404.011093,-2.227664
404.015635,-2.274827
404.020178,-2.311497
404.024721,-2.337250
404.029263,-2.351662
404.033806,-2.354290
404.038348,-2.344589
404.042891,-2.322800
404.047433,-2.289372
404.051976,-2.244752
404.056519,-2.189389
404.061061,-2.123731
404.065604,-2.048226
404.070146,-1.963324
404.074689,-1.869471
404.079232,-1.767118
404.083774,-1.656711
404.088317,-1.538700
404.092859,-1.413533
404.097402,-1.281657
404.101944,-1.143522
404.106487,-0.999576
404.111030,-0.850267
404.115572,-0.696043
404.120115,-0.537353
404.124657,-0.374646
404.129200,-0.208369
404.133742,-0.038970
404.138285,0.133100
404.142828,0.307396
404.147370,0.483467
404.151913,0.660866
404.156455,0.839145
404.160998,1.017854
404.165540,1.196546
404.170083,1.374772
404.174626,1.552084
404.179168,1.728034
404.183711,1.902173
404.188253,2.074053
404.192796,2.243225
404.197338,2.409241
404.201881,2.571653
404.206424,2.730013
404.210966,2.883872
404.215509,3.032781
404.220051,3.176293
404.224594,3.313959
