curve_id,Time_s,Height_km,z_m,ne_m3,original_label
t393_4_h76km,3.934000e+02,7.600000e+01,1.479282e-02,1.128874e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.493001e-02,1.135511e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.506720e-02,1.142187e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.520440e-02,1.148902e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.534159e-02,1.155656e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.547879e-02,1.162451e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.561598e-02,1.169285e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.575317e-02,1.176155e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.589037e-02,1.183024e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.602756e-02,1.189745e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.616475e-02,1.196194e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.630195e-02,1.202488e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.643914e-02,1.208774e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.657633e-02,1.215088e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.671353e-02,1.221436e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.685072e-02,1.227816e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.698791e-02,1.234231e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.712511e-02,1.240678e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.726230e-02,1.247159e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.739949e-02,1.253674e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.753669e-02,1.260223e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,1.767388e-02,1.266807e+16,Time (Hight)=393.4 s (76 km)
