aiding_fraction,ekf_mean_position_error_3d_m,ekf_mean_velocity_error_3d_mps,frequency_hz,height_km,imu_carrier_aiding_rate_mean,imu_code_aiding_rate_mean,ins_final_attitude_error_deg,ins_final_position_error_3d_m,ins_final_velocity_error_3d_mps,ins_mean_attitude_error_deg,ins_mean_position_error_3d_m,ins_mean_velocity_error_3d_mps,label,prediction_only_epochs,single_effective_pseudorange_sigma_1s_m,single_fd_rmse_hz,single_tau_rmse_ns,speed_kms,valid_wls_epochs,wls_mean_position_error_3d_m
1.0,76.96053891708733,2.96589651043688,18500000000.0,90.0,748.7511342665075,-0.19093908157922368,0.0007377315747395336,2.9816330226960615,0.01624765838882935,0.0018562357599776452,1.4747776752084452,0.13618991231560307,h90km_v7.90kms_18p5GHz,178,8516.46457875267,31193.919929774947,28060.003311169825,7.9,41,36727.592355313456
1.0,46.29757517540163,2.6516623142703595,18500000000.0,90.0,842.7066709966914,-0.20547015340778352,0.0004570680225395102,3.155819893087067,0.012507512568979104,0.0019340796472131123,1.5699759316489417,0.14395335163991033,h90km_v8.45kms_18p5GHz,180,3059.5586341991693,34998.09039236201,30455.02141029387,8.45,39,14356.921874865802
1.0,213.6050785132289,1.9745714442530249,18500000000.0,90.0,942.0988066888632,-0.22016213929397493,0.00031460371436320997,3.374223959095653,0.01737409106671313,0.001467239951502902,1.6729569238732522,0.15401751788577311,h90km_v9.00kms_18p5GHz,195,7231.411140191785,38551.72281862291,23754.737952770043,9.0,24,36828.833916735246
1.0,229.01214918555178,3.613970962202614,18700000000.0,70.0,748.8484399563088,-0.2429435422488289,0.0007377315747395336,2.9816330226960615,0.01624765838882935,0.0018562357599776452,1.474777675208557,0.13618991231560307,h70km_v7.90kms_18p7GHz,182,8707.212742914762,45054.46786016839,28605.0036867048,7.9,37,26809.672649267504
1.0,133.97987740871477,4.368257211620755,18700000000.0,70.0,842.7968374884944,-0.26108251567874763,0.0004570680225395102,3.155819893087067,0.012507512568979104,0.0019340796472131123,1.569975931648699,0.14395335163991033,h70km_v8.45kms_18p7GHz,180,10436.75428694067,50942.46855921335,39803.6644993769,8.45,39,50314.45593080786
1.0,67.04581038363835,4.790396136531103,18700000000.0,70.0,942.1768437347798,-0.2793806918273336,0.00031460371436320997,3.374223959095653,0.01737409106671313,0.001467239951502902,1.6729569238734676,0.15401751788577311,h70km_v9.00kms_18p7GHz,183,7717.216623110993,56560.64928369959,25359.301224082552,9.0,36,31022.91612964643
1.0,99.23354302596046,2.2135180953059934,18700000000.0,80.0,753.2476962279611,-0.21561348980210215,0.0005473934294883355,2.976331185288105,0.013845626156646059,0.0014139111567694422,1.4757710792027785,0.13578583911859327,h80km_v7.90kms_18p7GHz,191,10458.06834654789,37249.51857966264,34563.62890039522,7.9,28,46860.57280801675
1.0,100.43345578150907,3.101106683294942,18700000000.0,80.0,847.7540836685363,-0.23185655090252985,0.0005684375951645048,3.1576352798480944,0.016431282463355876,0.0013402447068546605,1.5667060540511135,0.1442623631530687,h80km_v8.45kms_18p7GHz,193,7114.734214485068,42229.23571835523,24766.08645621303,8.45,26,38842.006732000504
1.0,248.5677861984537,3.499740201642867,18700000000.0,80.0,947.7347581952682,-0.24826012422825258,0.00045493559267748625,3.380118443392536,0.018169874537615736,0.0016250246367644262,1.6725904646230492,0.15436861876711513,h80km_v9.00kms_18p7GHz,184,10462.533270831696,47112.647123767245,36048.54965279147,9.0,35,74490.61845409624
1.0,251.01317685753227,1.9490427147422955,18700000000.0,90.0,756.8442973386116,-0.19093899710299161,0.0003177529422658089,2.971653742734186,0.015097346924487512,0.0016011639646083902,1.472904318707969,0.13566244752845455,h90km_v7.90kms_18p7GHz,193,9869.198951461098,31939.93799290433,34467.31602697153,7.9,26,59442.395273322945
1.0,203.79105764528776,2.4641172455044305,18700000000.0,90.0,851.8194911367686,-0.20547020170302124,0.0005457637429309278,3.1797778316115197,0.016489505339012757,0.0014136672997056316,1.5753154038608737,0.14514753510404563,h90km_v8.45kms_18p7GHz,181,10635.453729884961,35459.95378293627,38196.178592075594,8.45,38,49284.56041824167
1.0,135.77445777668825,2.6456612496719227,18700000000.0,90.0,952.283561242839,-0.22016214784354646,0.00042521013400289404,3.3668084738933577,0.012447629304189647,0.00154180406856169,1.676233035055998,0.15352342752634152,h90km_v9.00kms_18p7GHz,188,5831.492068058037,39462.42465901735,20397.683578933385,9.0,31,30178.591624023702
