t_s,gyro_x_radps,gyro_y_radps,gyro_z_radps,accel_x_mps2,accel_y_mps2,accel_z_mps2,ins_pos_ecef_x_m,ins_pos_ecef_y_m,ins_pos_ecef_z_m,ins_vel_ecef_x_mps,ins_vel_ecef_y_mps,ins_vel_ecef_z_mps,ins_quat_w,ins_quat_x,ins_quat_y,ins_quat_z
9.925,1.3673897336047301e-05,-0.0005713960566900269,0.00379398322054525,19.640743322465415,-37.346884781859444,-4.883839254939525,-1656849.5813486131,5048313.740511661,3660126.452313257,-58.26734214422944,-4913.994250558671,6911.8129764068335,0.9956475073102597,-4.220237542469942e-05,0.0003167219214131796,0.093198385678349
9.93,2.2535300800405075e-05,-0.0005812809719291675,0.003774240103302715,19.659855600775366,-37.36245534197572,-4.890928592622886,-1656849.8730528415,5048289.170610586,3660161.0110013853,-58.41434924317327,-4913.966179767789,6911.662274861601,0.9956466237355551,-4.2032202398960154e-05,0.0003153032350004605,0.09320782939836085
9.935,-8.85907580069936e-06,-0.0005864667967479966,0.0037460056348721563,19.65927154562767,-37.383923686507345,-4.8993395807356634,-1656850.1654923724,5048264.600849783,3660195.56893584,-58.561463110304516,-4913.9381413041065,6911.511506963824,0.9956457446789291,-4.183768448721485e-05,0.0003138620066584958,0.09321722396097068
9.94,-3.503357812151296e-06,-0.0005752086381689716,0.003743865887866464,19.684775329826476,-37.400321683761355,-4.89585824093708,-1656850.4586675386,5048240.031229213,3660230.1261161817,-58.708603391364115,-4913.9100869763315,6911.36062986719,0.9956448721128298,-4.1720124399189883e-05,0.0003124005509823443,0.09322654826149969
9.945,5.4740337513585556e-06,-0.0005806600827932991,0.003786317779955767,19.697062343235885,-37.42640205930572,-4.900338817971084,-1656850.7525787828,5048215.461748909,3660264.6825420503,-58.85589426034412,-4913.882034219526,6911.209717510193,0.9956439999478282,-4.159185889388431e-05,0.00031096836611237166,0.0932358672222331
9.950000000000001,7.951830797474946e-06,-0.0005755969259506591,0.0037707837215824854,19.70549807551989,-37.44361737554288,-4.900800961583746,-1656851.047226725,5048190.892408911,3660299.2382130893,-59.00328263452495,-4913.8539652750105,6911.058698039842,0.9956431178026055,-4.143994399123994e-05,0.0003095247089202265,0.09324529183552764
9.955,-1.1794562523881985e-05,-0.0005800538035368734,0.003795519119474663,19.718488688593414,-37.458241725276906,-4.902835596734648,-1656851.342611784,5048166.323209304,3660333.793128874,-59.150740975069695,-4913.825877202845,6910.907615867924,0.9956422391839903,-4.128305389016321e-05,0.0003080942304409189,0.09325467777191901
9.96,3.288959840618364e-05,-0.0006113834585764198,0.0037946368248470996,19.7342782532217,-37.47267747565979,-4.902873891258469,-1656851.6387343449,5048141.754150133,3660368.347289115,-59.298283314342186,-4913.7977913986615,6910.7564806391365,0.9956413547089003,-4.117425652965835e-05,0.00030664805723847765,0.0932641252844606
9.965,-3.3259348875444954e-07,-0.0005546402353400066,0.0037712290749168332,19.740536448608278,-37.5072670266519,-4.902920549947339,-1656851.9355948644,5048117.1852313895,3660402.900693569,-59.4459245403153,-4913.769706071779,6910.6053008802355,0.9956404703763061,-4.094693151325567e-05,0.00030513431973942546,0.09327357056124615
9.97,9.111955097136121e-06,-0.000563832854288005,0.003796656949898571,19.755213670494047,-37.51859174507038,-4.90654397761184,-1656852.233193817,5048092.616453236,3660437.453341789,-59.59365655002108,-4913.741555203374,6910.453987152696,0.9956395913641608,-4.0815549353875576e-05,0.00030375407255877403,0.09328295758476671
